식당이미지(ID),식당(ID),식당명,지역명,식당이미지(URL),식당상태
2857,202844,카페마리포사,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/202844_607796543.jpg,폐업
2862,203151,빈대떡전의명가,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/203151_1124269787.jpg,미확인
2875,204579,에프비커피 선유,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/204579_99337338.jpg,운영중
2876,204579,에프비커피 선유,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/204579_2013578327.jpg,운영중
2902,206385,오늘겸상,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/206385_1507003280.jpg,미확인
2903,206385,오늘겸상,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/206385_1207903133.jpg,미확인
2910,207531,COMA,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/207531_206200943.jpg,운영중
2911,207531,COMA,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/207531_197350513.jpg,운영중
2914,207679,쟁반집,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/207679_1597233478.jpg,운영중
2915,207679,쟁반집,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/207679_1075252132.jpg,운영중
2916,208303,CAFE랑,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/208303_2092035816.jpg,미확인
2926,209830,또똣온반,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/209830_1278537621.jpg,운영중
2927,209830,또똣온반,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/209830_839794216.jpg,운영중
2944,212109,존스커피,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/212109_119299174.jpg,운영중
2947,212349,XOXO,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/212349_145801683.jpg,운영중
2948,212349,XOXO,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/212349_1718617650.jpg,운영중
2976,214377,장사랑 IFC몰점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-10/restaurant/214377_785442411.jpg,운영중
2977,214377,장사랑 IFC몰점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-10/restaurant/214377_1071927766.jpg,운영중
2982,214405,컬투치킨 선유도점,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/214405_1875854683.jpg,폐업
3009,215725,심양불고기,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/215725_1727799414.jpg,운영중
3010,215725,심양불고기,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/215725_1129344518.jpg,운영중
3025,217004,아녜스인더키친,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/217004_862154270.jpg,미확인
3026,217004,아녜스인더키친,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-11/restaurant/217004_173540774.jpg,미확인
3028,217493,골목식당포차,서울특별시 영등포구,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/217493_1555761126.jpg,운영중
